card_number,customer_id,billing_address,expiry_month,expiry_year
1750238740857042,425503,"973 Gilbert Ferry Road Se, Attalla, AL, 35954",8,2029
8486418671223452,581135,"1105 Boston Road, Springfield, MA, 1119",10,2024
5254491665474795,280203,"41301 US Hwy 280, Sylacauga, AL, 35150",7,2024
5533204272369790,472951,"890 Odum Road, Gardendale, AL, 35071",7,2029
9207127066904905,260048,"4538 Us Hwy 231, Wetumpka, AL, 36092",11,2028
2349229063293624,524613,"900 Boston Post Road, Guilford, CT, 6437",8,2025
2854611759242770,785242,"3949 Route 31, Clay, NY, 13041",3,2028
6415704329983377,581135,"1105 Boston Road, Springfield, MA, 1119",10,2026
6770454769585035,212495,"139 Merchant Place, Cobleskill, NY, 12043",2,2029
5864447536591440,292906,"2643 Hwy 280 West, Alexander City, AL, 35010",11,2027
3620523521013391,811096,"1625 Pelham South, Jacksonville, AL, 36265",10,2029
1749477725327766,984747,"250 Hartford Avenue, Bellingham, MA, 2019",5,2028
3405720284025988,227962,"3191 County rd 10, Canandaigua, NY, 14424",12,2024
7276734963343809,708770,"100 Elm Ridge Center Dr, Greece, NY, 14626",1,2026
4933889560018577,235264,"11 Jungle Road, Leominster, MA, 1453",5,2025
1350630361905958,643489,"4180 Us Hwy 431, Roanoke, AL, 36274",5,2025
1629956632852123,710936,"591 Memorial Dr, Chicopee, MA, 1020",8,2029
6722729960827974,390413,"851 Ann St, Montgomery, AL, 36107",9,2025
7168986226598550,539977,"101 South Beltline Highway, Mobile, AL, 36606",8,2029
9027931940917718,529808,"36 Paramount Drive, Raynham, MA, 2767",2,2025
8578366219515720,477599,"777 Brockton Avenue, Abington, MA, 2351",3,2027
5894804273189450,319172,"209 Lakeshore Parkway, Homewood, AL, 35209",11,2029
6016695669813103,114396,"1549 Rt 9, Halfmoon, NY, 12065",10,2028
7837403659991672,539977,"101 South Beltline Highway, Mobile, AL, 36606",6,2025
3652552848088216,579944,"180 River Rd, Lisbon, CT, 6351",8,2026
7658764545681461,685032,"164 Danbury Rd, New Milford, CT, 6776",11,2028
4093163480864601,643489,"4180 Us Hwy 431, Roanoke, AL, 36274",9,2024
8231551919483400,425503,"973 Gilbert Ferry Road Se, Attalla, AL, 35954",1,2027
